VARIABLES = "CoordinateX", "CoordinateY", "CoordinateZ"
Zone T="wing_surface" I=2400
DATAPACKING=POINT
5.891684 1.168721 9.117931 
6.083260 1.196685 9.117931 
6.274849 1.222709 9.117931 
6.466452 1.246796 9.117931 
6.658071 1.268827 9.117931 
6.849705 1.288644 9.117931 
7.041357 1.306072 9.117931 
7.233026 1.320926 9.117931 
7.424713 1.333020 9.117931 
7.616420 1.342186 9.117931 
7.808147 1.348410 9.117931 
7.999895 1.351989 9.117931 
8.191665 1.353273 9.117931 
8.383457 1.352607 9.117931 
8.575273 1.350322 9.117931 
8.767113 1.346731 9.117931 
8.958978 1.341936 9.117931 
9.150869 1.335398 9.117931 
9.342787 1.326489 9.117931 
9.534733 1.314705 9.117931 
9.726707 1.299716 9.117931 
9.918710 1.281362 9.117931 
10.110744 1.259647 9.117931 
10.302808 1.234844 9.117931 
10.494904 1.207376 9.117931 
10.687033 1.177514 9.117931 
10.879195 1.145381 9.117931 
11.071391 1.110997 9.117931 
11.263623 1.074318 9.117931 
11.455890 1.035260 9.117931 
11.648194 0.993717 9.117931 
11.840536 0.949567 9.117931 
4.359465 0.858530 9.117931 
4.551612 0.817733 9.117931 
4.743752 0.779406 9.117931 
4.935885 0.743330 9.117931 
5.128009 0.709287 9.117931 
5.320123 0.677066 9.117931 
5.512228 0.646474 9.117931 
5.704321 0.617373 9.117931 
5.896403 0.589725 9.117931 
6.088472 0.563684 9.117931 
6.280528 0.539710 9.117931 
6.472569 0.518545 9.117931 
6.664595 0.500516 9.117931 
6.856605 0.485649 9.117931 
7.048598 0.473901 9.117931 
7.240574 0.465136 9.117931 
7.432531 0.459133 9.117931 
7.624469 0.455594 9.117931 
7.816387 0.454264 9.117931 
8.008283 0.455081 9.117931 
8.200158 0.458009 9.117931 
8.392011 0.463012 9.117931 
8.583839 0.470069 9.117931 
8.775644 0.479182 9.117931 
8.967423 0.490437 9.117931 
9.159177 0.504140 9.117931 
9.350904 0.520585 9.117931 
9.542603 0.539969 9.117931 
9.734273 0.562377 9.117931 
9.925915 0.587776 9.117931 
10.117526 0.616034 9.117931 
10.309106 0.646690 9.117931 
10.500655 0.679127 9.117931 
10.692171 0.713025 9.117931 
10.883653 0.748307 9.117931 
11.075102 0.785035 9.117931 
11.266515 0.823348 9.117931 
11.457892 0.863417 9.117931 
11.649233 0.905427 9.117931 
11.840536 0.949567 9.117931 
4.844969 0.963792 10.131034 
5.028864 1.009995 10.131034 
5.212770 1.053140 10.131034 
5.396690 1.093395 10.131034 
5.580624 1.130934 10.131034 
5.764572 1.165941 10.131034 
5.948535 1.198607 10.131034 
6.132515 1.229140 10.131034 
6.316511 1.257753 10.131034 
6.500526 1.284658 10.131034 
6.684558 1.310035 10.131034 
6.868610 1.333977 10.131034 
7.052682 1.356415 10.131034 
7.236774 1.377164 10.131034 
7.420888 1.395961 10.131034 
7.605025 1.412471 10.131034 
7.789184 1.426293 10.131034 
7.973368 1.437003 10.131034 
8.157576 1.444272 10.131034 
8.341809 1.448323 10.131034 
8.526068 1.449614 10.131034 
8.710355 1.448608 10.131034 
8.894669 1.445766 10.131034 
9.079012 1.441518 10.131034 
9.263384 1.436199 10.131034 
9.447786 1.429537 10.131034 
9.632219 1.420945 10.131034 
9.816683 1.409916 10.131034 
10.001180 1.396088 10.131034 
10.185710 1.379261 10.131034 
10.370274 1.359385 10.131034 
10.554873 1.336591 10.131034 
10.739507 1.311203 10.131034 
10.924178 1.283461 10.131034 
11.108885 1.253477 10.131034 
11.293630 1.221272 10.131034 
11.478414 1.186809 10.131034 
11.663237 1.150013 10.131034 
11.848100 1.110787 10.131034 
12.033005 1.069024 10.131034 
4.844969 0.963792 10.131034 
5.029692 0.923901 10.131034 
5.214402 0.886606 10.131034 
5.399100 0.851710 10.131034 
5.583783 0.819016 10.131034 
5.768452 0.788327 10.131034 
5.953106 0.759461 10.131034 
6.137744 0.732265 10.131034 
